Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Stock_Name,Adjusted_Date,open_next_day,open_close_diff,close_next_open_diff,open_next_open_diff,Label
2024-09-02 00:00:00+05:30,3021.10009765625,3059.14990234375,2997.60009765625,3042.14990234375,1842658,0.0,0.0,ADANIENT.NS,2024-09-02,3037.0,21.0498046875,-5.14990234375,15.89990234375,-1
2024-09-03 00:00:00+05:30,3037.0,3053.050048828125,3023.800048828125,3036.10009765625,1371577,0.0,0.0,ADANIENT.NS,2024-09-03,3010.0,-0.89990234375,-26.10009765625,-27.0,-1
2024-09-04 00:00:00+05:30,3010.0,3025.0,2955.199951171875,3012.35009765625,1212270,0.0,0.0,ADANIENT.NS,2024-09-04,3025.0,2.35009765625,12.64990234375,15.0,1
2024-09-05 00:00:00+05:30,3025.0,3037.89990234375,3002.0,3015.35009765625,734273,0.0,0.0,ADANIENT.NS,2024-09-05,3019.0,-9.64990234375,3.64990234375,-6.0,1
2024-09-06 00:00:00+05:30,3019.0,3025.0,2968.0,2975.449951171875,1251165,0.0,0.0,ADANIENT.NS,2024-09-06,2972.10009765625,-43.550048828125,-3.349853515625,-46.89990234375,-1
2024-09-09 00:00:00+05:30,2972.10009765625,2972.5,2927.300048828125,2964.14990234375,1523581,0.0,0.0,ADANIENT.NS,2024-09-09,2971.60009765625,-7.9501953125,7.4501953125,-0.5,1
2024-09-10 00:00:00+05:30,2971.60009765625,3007.39990234375,2947.60009765625,2986.39990234375,803782,0.0,0.0,ADANIENT.NS,2024-09-10,2985.0,14.7998046875,-1.39990234375,13.39990234375,1
2024-09-11 00:00:00+05:30,2985.0,2992.949951171875,2928.0,2937.85009765625,888628,0.0,0.0,ADANIENT.NS,2024-09-11,2950.0,-47.14990234375,12.14990234375,-35.0,1
2024-09-12 00:00:00+05:30,2950.0,3000.0,2917.14990234375,2991.0,1314173,0.0,0.0,ADANIENT.NS,2024-09-12,2972.0,41.0,-19.0,22.0,-1
2024-09-13 00:00:00+05:30,2972.0,3001.949951171875,2956.050048828125,2968.35009765625,815948,0.0,0.0,ADANIENT.NS,2024-09-13,2972.0,-3.64990234375,3.64990234375,0.0,1
2024-09-16 00:00:00+05:30,2972.0,3026.39990234375,2972.0,2984.89990234375,695162,0.0,0.0,ADANIENT.NS,2024-09-16,2990.050048828125,12.89990234375,5.150146484375,18.050048828125,1
2024-09-17 00:00:00+05:30,2990.050048828125,2995.89990234375,2952.5,2975.199951171875,698700,0.0,0.0,ADANIENT.NS,2024-09-17,2976.0,-14.85009765625,0.800048828125,-14.050048828125,-1
